Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
Ace_Of_Spades,Forgeries/Physical documents,5 x Copy of Australian NSW Drivers Licence,♠ ♠ ♠ This listing is for a forged physical copy of a 'NSW Drivers License'. ♠ ♠ ♠   5X NSW DRIVERS LICENSE FOR $1500 - DISCOUNT $250  *** Read all the fine print before purchasing ID's***  Due ...,5.029161474,Australia,,4.92/5,Average price may be skewed outliar > .5 BTC found
advancedgrowthlabs,Drugs/RCs,Aromasin ( Exemestane) 25mg/ml 30ml,For sale is a 30ml bottle of exemestane at 25mg/ml. Shake before use!  Comes with 1cc syringe for measuring.  This has standard RC taste  so don't expect it to taste delicious.,0.132350639,USA,,4.994/5,
AgentSmith008,Forgeries/Physical documents,BEST Quality Fake California ID Anywhere – Scan/UV/Bend Test/Holos,-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=- TEMPORARY SALE PRICE THIS WEEK ONLY -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=- Through the end of THIS WEEK ONLY  my IDs are $90 off - $160 each!!  ...,0.38256764,,Worldwide,4.96/5,
alfapentedron,Drugs/RCs,PENTEDRONE new price 100 grams,PENTEDRONE  powder/crystal  FE not require in EU  not sending to australia and strange places   What is pentedrone? Pentedrone  also known as 2-(methylamino)-1-phenylpentan-1-one or α-methyla ...,1.202980347,,,4.82/5,Average price may be skewed outliar > .5 BTC found
Althea,Drugs/RCs,100g - 5-Meo-MIPT,This listing is for 100 grams of 5-Meo-MIPT direct from the lab in china.  Quality is top notch. Shipping takes 1 to 3 weeks depending where you live.  FE required. Free Shipping and tracking numbe ...,1.774363906,China,,~5/5,Average price may be skewed outliar > .5 BTC found
AmicoFriz,Forgeries/Physical documents,Italian Drive License,Best Quality   Italian Drive License,0.824124413,,,4.77/5,
Aracay,Forgeries/Physical documents,EU Citizenship & Residency ID Cards (Physical - Not Scans),Great quality (as original) Spanish & Other EU ID Cards.  Passport photograph  signature scan and ID information (Name  DOB etc.) is needed to create the card.  If you cannot or don't want to pro ...,2.203804858,World,,~5/5,Average price may be skewed outliar > .5 BTC found
Bettingescrow,Services/Other,nba playoff  pick,nba pick of the night  all you need is  betting account anywhere..  you buy the pick and i send the pick right over then all you have to do is bet exactly what i tell you ;),0.023237974,,,4.83/5,
brulz8,Services/Hacking,Proxy Software + login 250 proxies for 30 days 39$,With this listings i will provide you software + username and logincode wich you can use for 30 days or 250 diffrent proxies within the 30 days.  vendors thread http://i25c62nvu4cgeqyz.onion/viewt ...,0.091842899,World,,5.00/5,
businessdude,Services/Hacking,Facebook hacking guide,.  This guide will teach you how to hack Facebook accounts of (your ex/friends/foe etc.) in a fast way! with practically useful methods. Perfect for those new to this field. Straight forward and to ...,0.062018074,Torland,,4.88/5,
canadasunshine,Services/Other,Now Hiring in US/Canada,Update July 6 - was locked out of my account since June 28  but back in now. if this site is down you can always order through Andromeda Market at  http://andromedam363aux.onion/profile.php?id=sunsh ...,9.71E-05,Canada,,4.96/5,
CheapPayTV,Services/Hacking,12 Month HuluPlus gift Code,12-Month HuluPlus Codes for $25. They are worth $95. They will be sent to you within 1 day. Most within a hour or two,0.050270257,Torland,,4.96/5,
ChinaChem,Drugs/RCs,1500g Ethylone FE custom listing,Only for order of 3000g.  The first order needs to be FE.  1000g reship if parcel is getting sized.  The 3kg will be split in 2x1.5kg parcels.  For a good customer.  WE HAVE 2 KINDS OF ETHY ...,11.57676851,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
COFFEESHOP24,Drugs/Cannabis/Weed,50g ☮ Super Silver Haze ☮,Super Silver Haze   Sativa  Flavors: Citrus  Sweet  Pungent  High: Euphoric  Happy  Uplifted  Description: Super Silver Haze was the first prize winner at the High Times Cannabis Cup in 1 ...,1.824685233,Netherlands,Worldwide,4.99/5,
Contingency,Services/Other,Your Own .onion Domain + 1 month Tor hosting (no CP),Hi all   \== I recently leased a server to host a hidden wiki I run; the server is much more powerful than needed to host this one site. |-- So I would like to sublet these services to people who  ...,0.034609656,Internet,Torland,~5/5,
cyberzen,Services/Hacking,VPN > TOR > SOCK TUTORIAL,How to setup a VPN > TOR > SOCK super safe encrypted connection.,0.019016784,,,4.89/5,
Dipsy,Services/Money,Cashout BTC -> EUR,We will mail 100 euro cash to the address you provide.  Full Escrow!   Those bills are LEGAL  not counterfeited!,0.30918943,,,4.78/5,
DoctorNick,Services/Other,USPS Tracking Add-On for Domestic Orders,This is an addon item for customers buying my Suboxone listings  making the package trackable (tracking will not be provided until over 7 days late on my projected delivery window)  If you like you ...,0.005042591,USA,,4.94/5,
DrWhite,Services/Other,DrWhite's Darknet Computer Consulting Service,Darknet Security Consulting $30/hour  Get trained in computer/darknet use in the safety and convenience of Torchat!  I have a computer consulting background with a 3+ year expertise in darknet se ...,0.100583183,World,,5.00/5,
drzheng,Drugs/RCs,250g pure CRYSTAL a-PVP  APVP (improved MDPV alternative) FREE worldwide shipping,250g of pure a-PVP  APVP (improved MDPV alternative) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Different batches may have different texture ...,3.609694607,World,Worldwide,4.99/5,Average price may be skewed outliar > .5 BTC found
DutchDeal,Services/Other,Tracking Service with Signature.,Tracking Service with Signature when you want tracking.  DD.,0.068242944,Torland,,5.00/5,
DutchMagic,Drugs/Cannabis/Weed,White Widow - 500g,This is a very potent and powerful variety of cannabis  available on the top of all Dutch coffee shop menus.  The buzz is powerful and energetic yet social  be prepared for a strong high.  You will n ...,13.26669281,EU,Worldwide except USA,4.937/5,Average price may be skewed outliar > .5 BTC found
echo,Services/Other,High quality PLA 3D prints by echo,I will anonymously 3D print anything for you with my handbuilt high resolution 3D printer. This printer uses a .35 mm nozzle with a .2 mm layer height  and produces strong  smooth prints every time.  ...,0.005307105,,,5.00/5,
Evangitis,Drugs/RCs,1g 4-FA,1g 4-FA; 4-Fluoroamphetamine,0.092582215,USA,USA,5.00/5,
EverythingOnIt,Drugs/RCs,500g Ethylphenidate 99% Pure,500g of 99% Pure Ethylphenidate  FE Free express shipping Available  Tracking Number will be provided for either options  It takes 5-10 working days to most of countries  Picture can be arran ...,4.651635754,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
fake,Services/Other,NATURAL MEDICINE CONSULTATION,I AM AN EXPERT IN NATURAL THERAPIES. I WILL OFFER A CONSULTATION ABOUT ANY DISEASE  TELL ME: AGE SEX EIGHT WEIGHT DISEASES SYMPTOMS BLOOD OR ANY OTHER ANALYSIS ( IF AVAILABLE ) DRUG USE    ...,0.082347956,,,4.782/5,
Fappy,Drugs/RCs,A-PVP 10g,A-PVP (HCL)  Produces stimulant and euphoric effects very similar to MDVP. Be aware that high doses can produce intense prolonged panic attacks and psychosis from frequent dosing and sleep withdraw ...,0.43956033,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
flawlessfakeids,Forgeries/Physical documents,Fake Netherlands (Dutch) National ID Card - High quality Replica,Netherlands Fake National ID Card  Description:  The Netherlands Fake National ID card is a very high quality replica ID  and has been incredibly popular among our German Customers for use as ID  ...,1.23364542,EU,Worldwide,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,200gr. 2 FMA FREE SHIP WITH TRACK,2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ...,3.368117086,China,,5.00/5,
geoffreygiraffe,Drugs/RCs,28 Grams α-PVP Powder,*******PGP IS REQUIRED. FULL FIRST AND LAST NAME MUST BE PROVIDED. ANY ORDER THAT DOES NOT MEET THESE REQUIREMENTS WILL BE CANCELLED. PLEASE SEE THE BOTTOM OF MY PROFILE FOR A QUICK HOW-TO IN PGP**** ...,0.75347265,USA,,5.000/5,
GetBTC,Services/Other,Vault Market Invite Code - $5 (save $95),I am selling invite codes to the world famous Vault Market autoshop  for just $5. This is a great deal as normally you would need to pay $100 just to register.  Vault Market has listings for tens o ...,0.015934644,,,~5/5,
globalmethods,Services/Other,Order Addon - Super Stealth Packing,For what ever reason you may feel you need extra stealth  maybe delivering to your work  or have a nosey spouse. Whatever your reason we can step up the stealth so you won't even find it without our  ...,0.06,UK,,5.00/5,
Good-IDs,Forgeries/Physical documents,New Jersey Fake ID,Fake ID with all security features Real Multi Spec Holograms UV ink Customized Barcode Encoded Has been tested to work in state  Please include the following when you order your fake ID  High ...,0.304290558,USA,Worldwide,4.83/5,
gork,Forgeries/Physical documents,Custom made stamp,Full price around 160$ Shipping 5$  Custom made stamp (company  pharmacist  doctor  visa stamp  etc..) We can copy a stamp from picture and make it. Or make it with provided text. Price varies. ...,0.253719166,EU,,~4/5,
Gotmilk,Services/Other,uk reshipping,extra fees for uk re-ship too EU or hard to import countries,0.105754664,,,4.74/5,
Hackyboy,Services/Hacking,DDOS ATTACK SERVICE,New service available : Take down all websites you want : Skype accounts  Minecraft servers  xbox game servers... and many more... (not biggest websites like Facebook  Google  ... you understand why. ...,0.030109432,Torland,,4.92/5,
HellMaker,Services/Other,I will teach how to thief stuff -  INDIVIDUAL TRAINING,I will teach how to thief stuff - 100% WORKING INFO - this individual training   This is great guide how to card anything you want (>$1000) and you will grow your stuff price after some time and p ...,6.444885268,Internet,,4.43/5,Average price may be skewed outliar > .5 BTC found
hot-potato,Services/Other,Private Courier,Private anonymous courier service - Victoria and SA (Australia) but other areas considered.  I am a driver and owner of a business allowing totally private travel arrangements for:   *  Documents ...,0.466865642,Australia,Australia,~5/5,Average price may be skewed outliar > .5 BTC found
hsytk,Forgeries/Physical documents,Best Fake Diploma Part 1,Can do most universities in the U.S. message me first to check.  Please do not compare our price with the cheap $100 dollar printed ones on the open market. If you want to seriously use this as it  ...,0.916687059,,,~5/5,
ident!ty,Forgeries/Physical documents,Fake ID - South Carolina (SC) Driver's License [holo+uv+micro] [scans+bends],Said to be among the finest novelty credentials on the market  our fake IDs are meticulously forged using DMV-grade equipment and skilled hands to look  feel  and pretty much exactly like real state- ...,0.243910191,USA,USA,4.95/5,
InternationalChems,Drugs/RCs,3GR - MDPV (EU stock!),High quality MDPV direct from our EU lab. ★ Please READ our entire profile before ordering. ★ No FE required! ★ Less than 24hs from order to shipping. ★ We DO NOT SHIP this product to: Austria  C ...,0.221594649,EU GER and AUS,Worldwide except USA  GER and AUS,~5/5,
IsolatedWarrior,Drugs/RCs,a-PVP 100mg sample - substitute this for adderall meth speed (or mdpv) & pass drug tests & save $,100mg a-PVP  Use this to get high or focus or study without burning a hole in your wallet and pass your tox screens with flying colors.  I personally have shipped a sample of this to a lab to ver ...,0.025564111,USA,USA,4.98/5,
Jack_N_Hoff,Drugs/RCs,1000 grams of pure a-PVP crystals,One kilogram of a-PVP CRYSTALS express shipped with tracking.  Over 99% pure.  Please message me your location before ordering to make sure that I ship to your location.  FE is required.   I lost ...,11.98774299,China New Zealand  Russia  Finland  Germany or the Middle East.,Worldwide except Australia  New Zealand  Russia  Finland  Germany or the Middle East.,4.94/5,Average price may be skewed outliar > .5 BTC found
keydemon,Services/Hacking,MASTERKEY X-TREME-AUS,MASTERKEY EXTREME-TO OPEN MAILBOXES/LETTERBOXES/FILING CABINETS/LOCKERS/DESK DRAWERS & DISPLAY CASES-SUNGLASSES WATCHES JEWELLERY..   THIS SWEET LITTLE PIECE OF HARDWARE  WILL OPEN MOST SINGLE/DOU ...,0.146011298,Australia,AUSTRALIA,5.00/5,
KryptykOG,Services/Hacking,OFFICIAL Account Creator Extreme 4.2,Tagged Submission Fix Bebo Submission Fix Adjustments To Inbox.com Submission Linkedin Now Saves Email Fixed Typo Fixed Task Manager Form Issue  Features- Automatically Creates Accounts On 20 ...,0.007,Torland,,4.93/5,
lance.armstr0ng,Drugs/RCs,10x40mg Ethylphenidate Caps - Ritalin Analogue 99% purity,> Ethylphenidate (EP) is a psychostimulant and a close analog of methylphenidate. The two drugs have very similar pharmacological effects.  Doping for your brain! Study like never before with my f ...,0.077991231,Germany,,5.00/5,
livinglarge,Services/Other,Request Custom Hotel Booking,You have to buy this listing in order to book a stay. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback  if tha ...,0.067750151,Internet,,5.00/5,
Lovebomb,Services/Other,Pandora Market Activated Vendor Accounts-HALF PRICE!,So  as many people know  Pandora charges an arm and a leg for vending accounts- 1 whole bitcoin! We got a handful of accounts for a business plan which we never followed through on  and we currently  ...,0.5,Internet,,~2/5,
loveunderwill,Drugs/RCs,Alpha-PVP✭✭✭100 Grams✭✭✭Free Ship w/ Tracking,✭Item: Alpha-PVP   ✭Quanty: 100 grams   ✭Purity: 99 8% HCL  ******************************************************************** ********************************************************** ...,2.070786849,China,,~5/5,Average price may be skewed outliar > .5 BTC found
MaximusDecimus,Drugs/RCs,Mephedrone Alternative | 4-MEC | 7 Grams for £50,Hello all.  This listing is for a 7 Grams of 4-MEC  the product I'm selling is uncut and of very good quality  this is what most people are selling as Mephedrone  It is of very pure quality 98&+ an ...,0.204902312,UK,United Kingdom,5.00/5,
TheDigital,Services/Advertising,FE 1000 Real Facebook Likes (Fan/Business Page),Better marketing of your brand – This campaign brings with it the possibility of marketing your products worldwide. The best part is that you do not have to increase your spend on advertisements  mar ...,0.322282289,,,4.777/5,
TheDigital,Services/Advertising,Facebook likes - 5 000 Real Facebook Likes (Fan/Business Page),Better marketing of your brand – This campaign brings with it the possibility of marketing your products worldwide. The best part is that you do not have to increase your spend on advertisements  mar ...,0.886276304,,,4.777/5,
TheDigital,Services/Advertising,Facebook likes - 250 Real Facebook Likes (Fan/Business Page),Better marketing of your brand – This campaign brings with it the possibility of marketing your products worldwide. The best part is that you do not have to increase your spend on advertisements  mar ...,0.1409985,,,4.777/5,
TheDigital,Services/Advertising,NR.1 FACEBOOK - 5 000 Real Facebook Likes (Fan/Business Page),Better marketing of your brand – This campaign brings with it the possibility of marketing your products worldwide. The best part is that you do not have to increase your spend on advertisements  mar ...,0.886381757,,,4.777/5,
